collision_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,casualty_type
2023010437192,1,2,2,2,50,8,3,11
2023101348830,1,1,3,2,32,6,2,0
2024010504898,1,1,1,1,31,6,3,1
2020010267644,2,1,1,1,29,6,3,3
2022302200517,1,1,1,1,69,10,2,5
2020122001389,1,1,1,2,49,8,3,9
2020360995941,1,1,1,1,60,9,2,9
2020460966372,1,1,1,1,79,11,3,9
2023461341961,1,1,1,1,78,11,3,9
2024340WN3242,1,1,1,2,88,11,3,9
2024440352087,2,2,1,2,79,11,3,9
2024991486969,2,1,1,2,77,11,2,9
2020990976272,3,1,2,1,29,6,3,11
2023010465482,2,1,1,1,44,7,3,19
2024101434034,2,1,1,1,32,6,3,19
2020052002661,1,3,3,1,31,6,3,0
2021010334207,1,1,3,1,45,7,2,0
2022010362972,1,1,3,1,25,5,3,0
2022061162839,1,1,3,1,55,8,3,0
2022522202382,1,1,3,1,45,7,3,0
2023131377423,1,1,3,2,15,3,3,0
2024141456347,1,1,3,1,7,2,3,0
2023361328314,2,1,1,1,67,10,3,3
2022302201363,1,1,1,1,19,4,2,4
2020400945896,2,1,1,1,32,6,2,5
2024052402776,2,1,2,2,60,9,3,8
2020010232290,1,1,1,1,36,7,3,9
2020010267304,1,1,1,1,51,8,3,9
2020010267630,2,2,1,2,29,6,3,9
2020041004477,3,2,1,1,48,8,3,9
2020351004547,1,1,1,1,37,7,3,9
2020400936615,1,1,1,1,64,9,1,9
2021141022568,1,1,1,1,30,6,3,9
2021361064829,1,1,1,1,69,10,3,9
2021401100670,1,2,1,2,53,8,3,9
2022371206753,1,1,1,-1,41,7,3,9
2022440439827,2,1,2,1,18,4,3,9
2022451170386,2,1,1,2,74,10,3,9
2024010508650,2,1,1,1,59,9,3,9
2024010538553,1,1,1,2,44,7,3,9
2024440537686,2,1,1,1,28,6,3,9
2022991143551,1,2,1,1,57,9,3,19
2021522105787,1,2,2,1,19,4,3,-1
2020411021106,1,1,3,2,52,8,3,0
2022501157659,1,3,3,2,75,10,2,0
2023211333462,1,1,3,2,54,8,3,0
2024010533133,1,1,3,1,12,3,3,0
2024991424406,1,1,3,1,13,3,3,0
2020010249472,2,1,1,1,29,6,3,1
2020211020375,2,1,1,1,67,10,3,1
2022052201294,2,1,1,1,71,10,3,1
2023161386680,1,1,1,2,27,6,2,1
2022010362156,1,1,1,1,54,8,3,3
2021010316335,2,1,1,1,35,6,2,5
2021070341515,2,1,1,2,24,5,3,9
2021122100972,2,2,1,1,25,5,3,9
2021141027035,1,1,1,2,36,7,2,9
2021201029874,2,2,1,1,52,8,3,9
2021440458579,1,1,1,1,20,4,3,9
2021461042160,1,1,1,1,43,7,3,9
2022010354526,2,2,1,1,42,7,3,9
20225222NS019,1,1,1,1,17,4,3,9
2023010471845,1,1,2,1,24,5,3,9
2023031282043,1,1,1,2,44,7,3,9
2024430309465,1,1,1,1,26,6,3,9
2024471436283,1,1,1,1,26,6,3,9
2023010422754,1,1,2,1,37,7,3,11
2024010502664,2,1,1,1,40,7,2,-1
2024421478919,1,1,1,1,67,10,3,11
2024401451431,1,1,1,2,22,5,3,9
2020410988178,1,1,1,1,36,7,2,9
2021231034997,2,2,2,2,40,7,3,9
2021421110775,2,1,1,1,49,8,3,9
202234NNC7512,2,1,1,2,41,7,3,9
2022501211859,1,1,1,1,20,4,3,9
2023471370695,2,2,2,2,47,8,2,9
2021010339253,1,1,1,1,30,6,3,1
2020010284040,1,1,3,1,54,8,3,0
2020420951931,1,1,3,1,17,4,2,0
2021010343739,1,1,3,2,35,6,2,0
2022451156597,1,1,3,2,12,3,3,0
2021052102871,2,1,1,1,22,5,3,1
2024161450826,2,1,1,1,55,8,3,1
2020010266446,1,1,1,1,69,10,3,3
2023522301198,1,1,1,1,52,8,3,3
2023552300781,1,1,1,1,51,8,3,4
2020420988035,2,1,1,1,59,9,3,5
2020010280534,2,1,1,1,24,5,3,8
2020010240243,2,2,1,1,44,7,3,9
2020990925696,2,1,1,2,46,8,3,9
2021201021085,2,1,1,2,31,6,3,9
202131P032721,1,1,1,1,56,9,2,9
2022010366858,1,2,2,2,41,7,3,9
2022320358502,1,1,1,1,41,7,3,9
2022371224839,2,1,1,1,43,7,3,9
2022991252361,1,2,2,2,26,6,3,9
2023010477614,3,1,1,1,32,6,3,9
2023610018123,2,2,1,2,76,11,2,9
2024221492566,1,2,2,2,72,10,1,9
2024311497166,2,1,1,2,37,7,2,9
2024411510865,2,2,2,2,45,7,3,9
